minute;L1;L2;KL
0;1;0.303247712;?
1;0.888997124;0.161439354;1.412182428
2;0.680464013;0.104916768;0.997488744
3;0.645717615;0.088425868;0.928283013
4;0.605434083;0.079114225;0.905681762
5;0.569913099;0.070560827;0.860218088
6;0.553143465;0.06542071;0.829471784
7;0.508684509;0.056577394;0.764377746
8;0.497029004;0.052293816;0.748865248
9;0.485102013;0.050478351;0.731309542
10;0.472255297;0.047276268;0.692837107
11;0.456903757;0.046098837;0.652204698
12;0.44380681;0.045735219;0.624660868
13;0.429384178;0.042567811;0.618829086
14;0.41666051;0.041331967;0.598148663
15;0.400785177;0.039092668;0.568666538
16;0.393894243;0.038365711;0.553778407
17;0.384822985;0.034866534;0.54765961
18;0.38096135;0.034684327;0.537776347
19;0.377660431;0.034403653;0.535516123
20;0.376810974;0.03416818;0.537630126
21;0.373287397;0.033246534;0.527434249
22;0.372089119;0.032723714;0.532828816
23;0.368104188;0.032522619;0.524886555
24;0.362963698;0.032070652;0.520219386
25;0.35998769;0.031271325;0.505783296
26;0.359003784;0.031746815;0.50941633
27;0.356663825;0.031134639;0.505978396
28;0.349842713;0.029697888;0.502146198
29;0.348308235;0.028889025;0.506251943
30;0.346434362;0.028631967;0.500814462
31;0.342566081;0.028060861;0.493424983
32;0.338466322;0.027170166;0.491639045
33;0.338130341;0.027066366;0.491717093
34;0.337268309;0.027369464;0.488868561
35;0.333699028;0.027280424;0.481844002
36;0.328043238;0.026249164;0.474134
37;0.326791949;0.025949543;0.470197709
38;0.322106105;0.025311349;0.465939391
39;0.31908882;0.025299933;0.464175164
40;0.316862429;0.024735997;0.462617472
41;0.315985803;0.024574607;0.461628552
42;0.311687184;0.02394106;0.457034649
43;0.310478298;0.023462895;0.454200829
44;0.310358926;0.023379869;0.452415595
45;0.309355423;0.02318378;0.451364876
46;0.30693384;0.023019927;0.448574455
47;0.303680318;0.022379792;0.446386477
48;0.298964864;0.021902332;0.44357446
49;0.297897206;0.021771103;0.442189602
50;0.297306329;0.021953126;0.442164276
51;0.296217068;0.021831974;0.436179474
52;0.297508233;0.021882101;0.433789034
53;0.297697501;0.021964163;0.429966966
54;0.296027801;0.021998422;0.427236799
55;0.294943374;0.022177392;0.424643191
56;0.293765032;0.022049802;0.422619914
57;0.291687341;0.021839919;0.420967067
58;0.292107519;0.021885167;0.41842667
59;0.29148557;0.022055245;0.41655638
60;0.291416304;0.022163841;0.411914627
61;0.291001023;0.022191957;0.412381211
62;0.290359278;0.02217785;0.410273478
63;0.287820106;0.021859813;0.407964426
64;0.287086184;0.021805621;0.406871917
65;0.28591199;0.021539469;0.406568731
66;0.285890738;0.021507915;0.406092164
67;0.285928541;0.021774974;0.403775861
68;0.285437847;0.021742959;0.403587572
69;0.282283967;0.021362873;0.399810451
70;0.280178445;0.0210406;0.397963814
71;0.27922118;0.020885252;0.394407851
72;0.277391416;0.020781724;0.391750333
73;0.275103713;0.020352461;0.389579487
74;0.274525461;0.020311728;0.387145426
75;0.273901792;0.020275688;0.383374273
76;0.27242356;0.020256734;0.38115635
77;0.271615407;0.020151025;0.380533932
78;0.270321436;0.019849235;0.380880386
79;0.268437876;0.019544574;0.379715289
80;0.267997757;0.019700736;0.380661682
81;0.268252812;0.019767239;0.379708924
82;0.267223101;0.019643534;0.379415931
83;0.267974715;0.019795748;0.379948665
84;0.266727906;0.019606801;0.379005175
85;0.266858334;0.019723665;0.377722902
86;0.265800935;0.019742816;0.376280947
87;0.263409283;0.019445151;0.374737599
88;0.262585678;0.019402654;0.372236564
89;0.261431639;0.019109278;0.371032055
90;0.26049655;0.018943437;0.36909322
91;0.261031706;0.01906771;0.370752659
92;0.260894654;0.019265204;0.36949969
93;0.258974618;0.019039377;0.369384767
94;0.257893955;0.019011246;0.366791909
95;0.256898861;0.018907514;0.365473305
96;0.256797941;0.018870806;0.368070234
97;0.256430978;0.019010918;0.367259321
98;0.255181571;0.018758875;0.364788259
99;0.254179534;0.018580421;0.363850316
100;0.252697379;0.018518984;0.362507643
