minute;row_nb;query_nb;relation_nb
0;0;;0
1;14;25;14
2;28;58;28
3;38;81;38
4;44;109;44
5;48;132;48
6;55;161;55
7;61;186;61
8;70;214;70
9;77;238;77
10;83;263;83
11;85;291;85
12;91;323;91
13;93;347;93
14;99;370;99
15;107;399;107
16;110;420;110
17;115;446;115
18;122;469;122
19;128;498;128
20;132;521;132
21;136;551;136
22;139;580;139
23;140;609;140
24;143;628;143
25;145;650;145
26;149;671;149
27;152;693;152
28;152;697;152
29;153;704;153
30;159;724;159
31;164;752;164
32;166;778;166
33;170;800;170
34;172;827;172
35;176;853;176
36;182;876;182
37;187;903;187
38;190;928;190
39;191;957;191
40;195;989;195
41;198;1014;198
42;203;1041;203
43;203;1062;203
44;205;1081;205
45;209;1109;209
46;213;1133;213
47;218;1154;218
48;221;1171;221
49;222;1197;222
50;223;1224;223
51;224;1254;224
52;224;1279;224
53;229;1306;229
54;232;1337;232
55;236;1362;236
56;239;1388;239
57;240;1408;240
58;243;1436;243
59;247;1454;247
60;248;1475;248
61;249;1495;249
62;252;1516;252
63;257;1539;257
64;260;1561;260
65;262;1591;262
66;265;1623;265
67;265;1649;265
68;268;1669;268
69;271;1691;271
70;273;1715;273
71;277;1746;277
72;281;1770;281
73;282;1798;282
74;285;1827;285
75;285;1855;285
76;289;1882;289
77;292;1901;292
78;295;1935;295
79;296;1963;296
80;297;1987;297
81;297;2014;297
82;298;2033;298
83;301;2059;301
84;303;2086;303
85;304;2111;304
86;307;2135;307
87;309;2156;309
88;309;2180;309
89;310;2200;310
90;310;2221;310
91;313;2241;313
92;314;2267;314
93;319;2286;319
94;321;2318;321
95;325;2348;325
96;325;2375;325
97;327;2397;327
98;329;2426;329
99;331;2450;331
100;332;2478;332
